pid,mcid,nctid,criterion_text
11,6038,NCT03060772,History of diabetes
11,7604,NCT03034772,History of uveitis.
11,10418,NCT02967016,History of chronic pain
11,12860,NCT02905188,History of liver transplantation
11,12915,NCT02903446,History of Addison disease
11,17222,NCT02746458,History of lymphotomies.
11,19017,NCT02675959,History of sepsis
11,20598,NCT02609685,History of radiation to neck
11,20752,NCT02606045,History of renal disease
11,20764,NCT02604277,History of primary substance disorder
11,28109,NCT02473276,History of chronic pain syndromes
11,28714,NCT02465034,History of head trauma
11,31465,NCT02404402,History of previous neurological diagnosis
11,36405,NCT02277548,History of angioedema
11,47567,NCT01817751,History of priapism
11,47735,NCT01807897,History of heart transplantation
11,49761,NCT01625923,History of eating disorder
11,1684,NCT03151330,History of cervical conization
11,9073,NCT03002389,History of diagnosis of COPD
11,10368,NCT02968602,History of organic brain disease
11,11607,NCT02932956,History of organ transplantation
11,12204,NCT02920710,History of malignancy.
11,12916,NCT02903446,History of osteomalacia
11,13618,NCT02872857,History of dementia
11,14811,NCT02833792,History of seizure disorder.
11,14981,NCT02826967,History of surgical ostomy
11,14982,NCT02826967,History of colorectal surgery
11,16600,NCT02768727,History of reactive airway disease
11,26034,NCT02508311,History of asthma
11,37961,NCT02230189,History of dermatographia
11,39511,NCT02174016,History of inborn error of metabolism
11,49119,NCT01686373,History of brain surgery
11,49751,NCT01625923,History of hyperlipidemia
11,51184,NCT01464164,History of hypertension
11,53002,NCT00969111,History of hip replacement.
