pid,mcid,nctid,criterion_text
39,5144,NCT03078530,Recent change in gastrointestinal medications
39,6563,NCT03053908,Subjects hypomotility disorders of the gastrointestinal tract including but not limited to Ileus.
39,7973,NCT03028012,Gastrointestinal ulceration
39,12036,NCT02923921,"Clinically significant bleeding within two weeks prior to randomization (e.g., gastrointestinal (GI) bleeding, intracranial hemorrhage)"
39,12356,NCT02915744,Chronic or acute GI disorders resulting in diarrhea of any severity grade.
39,13363,NCT02881242,"Gastrointestinal disorder affecting absorption (e.g., gastrectomy, active peptic ulcer disease within last 3 months, inflammatory bowel disease)"
39,16758,NCT02763033,Patients with inflammatory bowel disease.
39,18915,NCT02680535,Acute urinary tract infection.
39,19217,NCT02667418,"Known presence of fulminant CDI, including hypotension, severe ileus or GI obstruction or incipient toxic megacolon"
39,21941,NCT02581215,GI perforation/fistula
39,22950,NCT02564198,"Active or recent history of gastrointestinal perforations, ulcers, fistulas or abscesses"
39,24034,NCT02542657,Known gastrointestinal (GI) disease or GI procedure that could interfere with the oral absorption or tolerance of study drugs including difficulty swallowing
39,27343,NCT02487082,Peptic ulcer disease
39,32807,NCT02370056,Presence of any gastrointestinal tract malignancy
39,33928,NCT02343549,"History of abdominal fistula, gastrointestinal perforation within 6 months prior to study enrollment"
39,35034,NCT02322203,Subjects with acute liver disease or active peptic ulcer disease.
39,50133,NCT01595061,"Patients with evidence of active septicemia, severe infection, gastrointestinal bleeding or severe gastrointestinal symptoms requiring medical or surgical therapy"
39,37539,NCT02245841,Patients with a history of or current gastric ulcers
39,38071,NCT02225548,Subject with active peptic ulceration
39,40003,NCT02160288,Inflammatory bowel disease or proctitis
39,44082,NCT02013336,Clinically significant gastrointestinal disorders
39,44457,NCT01994382,"Significant gastrointestinal (GI) disease, previous major gastric/bowel surgery, difficulty swallowing, or malabsorption syndrome"
39,50247,NCT01584076,History of gastrointestinal bleeding from peptic ulcer disease
39,46256,NCT01903330,"History of abdominal fistula, gastrointestinal perforation, or intra-abdominal abscess within 6 months prior to Day 1."
39,48809,NCT01705119,Active gastrointestinal blood loss
39,52745,NCT01061515,"Gastrointestinal ailments that may alter the absorption of oral medications (i.e. bowel obstruction, short-gut syndrome)."
39,52972,NCT00969332,Acquired or congenital gastrointestinal disease
39,38816,NCT02195232,Active bleeding or high risk for bleeding (e.g. known acute gastrointestinal ulcer)
39,48359,NCT01756040,Intestinal atresia or perforation
