pid,mcid,nctid,criterion_text
30,134,NCT03187951,"Scheduled to receive preoperative therapy (chemotherapy, radiation or chemoradiation) either on- or off-protocol."
30,2720,NCT03128008,No prior chemotherapy or radiotherapy for NSCLC
30,4363,NCT03096418,Patients must be candidates for neoadjuvant paclitaxel chemotherapy by their treating oncologist. No other investigational or commercial therapeutic agents may be given concurrently with the paclitaxel.
30,9284,NCT02995330,"Prior chemotherapy (docetaxel, cabazitaxel) for castrate resistant prostate cancer"
30,11845,NCT02926729,Any systemic neoadjuvant (or preoperative) therapy between the core biopsy and lumpectomy.
30,14589,NCT02843568,Prior thoracic radiotherapy
30,16431,NCT02772562,Neoadjuvant or adjuvant therapy of any kind
30,17365,NCT02743494,Did not receive concurrent chemoradiotherapy prior to surgery
30,17977,NCT02719847,Patient has received prior chemotherapy or radiotherapy for this cancer
30,18983,NCT02678351,Androgen deprivation therapy or other neoadjuvant treatments prior to PET imaging and surgery
30,50354,NCT01570998,Patients undergoing primary systemic treatment (hormones or chemotherapy) as initial treatment with neoadjuvant reducing tumor size
30,20774,NCT02603757,Diagnosed with stage III colon or stage II/III rectal cancer that will receive neoadjuvant or adjuvant chemotherapy but have not yet started
30,21729,NCT02584244,Subjects may have previously received pre-operative radiation therapy and neoadjuvant chemotherapy.
30,22144,NCT02578641,• Adjuvant immunotherapy/ biologics Prior adjuvant immunotherapy/ biologics must be > 6 months before screening
30,25057,NCT02522715,"Prior chemotherapy for mCRPC prostate cancer; chemotherapy given neoadjuvantly, adjuvantly, or for hormone sensitive metastatic disease is permitted as long as the cancer did not progress on chemotherapy AND > 6 months have elapsed"
30,50754,NCT01532687,"Neoadjuvant or adjuvant therapy will not count towards prior treatment for metastatic disease, unless the patient relapsed within 2 years of completing such therapy."
30,29108,NCT02456857,At least 1.0 cm of measurable residual disease after neoadjuvant anthracycline-based chemotherapy
30,30364,NCT02427581,"Received chemotherapy, radiotherapy, or biologic therapy within the last 30 days (neoadjuvant chemotherapy excluded)."
30,31931,NCT02394535,Prior abdominal radiotherapy
30,33687,NCT02349867,Prior radiotherapy for pancreatic cancer
30,34744,NCT02328313,Scheduled to begin an appropriate adjuvant or neoadjuvant chemotherapy regimen as defined by NCCN guidelines (www.nccn.org)
30,34855,NCT02324387,Has biopsy-proven invasive breast cancer (BI-RADS 6) and scheduled for neoadjuvant chemotherapy (NAC).
30,35668,NCT02308709,"Concurrent chemotherapy is allowed, but not required."
30,36447,NCT02276443,Patients not eligible for chemotherapy with taxane and/or anthracycline based chemotherapy regimens
30,38608,NCT02203552,Women diagnosed with breast cancer stages I-III initiating first line adjuvant or neoadjuvant doxorubicin hydrochloride (DOX) chemotherapy
30,38833,NCT02194738,No patients who have received neoadjuvant therapy (chemo- or radio-therapy) for this lung cancer
30,39899,NCT02163317,Previous or concurrent cytotoxic chemotherapy for prostate cancer
30,40303,NCT02152956,Second primary malignancy that requires active therapy. Adjuvant hormonal therapy is allowed.
30,43309,NCT02048371,"At least one prior line of systemic therapy for the sarcoma diagnosis (neoadjuvant, adjuvant or metastatic disease)"
30,43768,NCT02027948,Patients can receive chemoradiotherapy preoperatively prior to surgical resection or as definitive/primary chemoradiotherapy.
30,44509,NCT01992861,Patients who will undergo standard radiation therapy with concurrent cisplatin-based chemotherapy for cervical cancer
30,46875,NCT01872975,Patients with histologically positive axillary nodes post neoadjuvant therapy
30,47413,NCT01824836,Patients must have completed recommended local therapy and adjuvant chemotherapy for breast cancer
30,47869,NCT01799135,Prior thoracic radiotherapy or surgery
30,52280,NCT01261728,Prior systemic chemotherapy (prior intravesical therapy is allowed)
30,53726,NCT00715611,Prior thoracic radiation therapy preventing hemithoracic pleural IMRT
