pid,mcid,nctid,criterion_text
29,2106,NCT03143153,Any positive test result for hepatitis B or C indicating acute or chronic infection and/or detectable virus
29,2817,NCT03125902,"Negative hepatitis C virus (HCV) antibody test at screening, or positive HCV antibody test followed by a negative HCV RNA test at screening. The HCV RNA test will be performed only for patients who have a positive HCV antibody test."
29,6431,NCT03056339,Known positive serology for HIV.
29,12575,NCT02911792,"Positive serologic evidence of current infectious liver disease including Hepatitis B viral antibody IGM, Hepatitis B surface antigen, Hepatitis C virus antibody and HIV"
29,14796,NCT02833805,Active hepatitis B or C infection determined by serology and/or nucleic acid testing (NAT)
29,15191,NCT02822378,"positive for HIV, Hep-C or Hep-B surface antigen and malignancy."
29,16438,NCT02772562,Positive hepatitis C serology or active hepatitis B infection.
29,19137,NCT02670044,"Positive for hepatitis C virus (HCV), hepatitis B surface antigen (HBsAg) and known history of HIV, malignancy, active infection and cardiovascular diseases (CVs)"
29,20225,NCT02628535,"Known history of hepatitis B or C infection or known positive test for hepatitis B surface antigen or core antigen, or hepatitis C polymerase chain reaction (PCR)"
29,22559,NCT02570854,A positive Hepatitis B surface antigen test result. Patients with Hepatitis C Virus (HCV) infection may be included if all other liver function eligibility criteria are met.
29,23646,NCT02552953,Known active hepatitis B and/or hepatitis C infection
29,25896,NCT02512497,Evidence of either cirrhosis or stage 3-4 liver fibrosis in patients with chronic hepatitis C or positive hepatitis C serology.
29,28220,NCT02471430,Negative Hepatitis B surface antigen (HBsAg) or Negative HBV DNA PCR
29,50480,NCT01562626,Patients with evidence of chronic active Hepatitis B (positive for HbsAg) and Hepatitis C (positive for viral RNA).
29,29590,NCT02446236,"Known human immunodeficiency virus (HIV-1) infection or chronic hepatitis B, or C (Hep B serology positive without active infection will be eligible)"
29,31087,NCT02411656,Has a known active hepatitis B or hepatitis C
29,32631,NCT02374333,Active hepatitis B or hepatitis C infection.
29,50080,NCT01599559,Known HIV-positive serology.
29,34012,NCT02342782,Active hepatitis B or C viral infection or hepatitis B surface antigen positive
29,35548,NCT02311361,"True positive test results for hepatitis A (Immunoglobulin M (IgM) positive). Subjects with a history of hepatitis A with Immunoglobulin G (IgG) blood test are not excluded. True positive test results hepatitis B, or C infection."
29,37755,NCT02236000,Active hepatitis B or hepatitis C with abnormal liver function tests; HIV positive patients receiving antivirals.
29,38242,NCT02215096,"Presence of hepatitis B surface antigen (HBsAg), positive hepatitis C antibody test result at screening or within 3 months prior to first dose of study treatment."
29,38754,NCT02200445,"Positive serology for HIV, hepatitis B virus (HBV) or HCV."
29,40123,NCT02158793,Positive serology for HIV; Hepatitis B/C Antigen
29,42629,NCT02075710,positive HIV antibody test or hepatitis serologies
29,46674,NCT01883076,"Mother's serology test results are negative for HIV, Hepatitis B, and Hepatitis C."
29,47436,NCT01823198,Hepatitis B surface antigen negative and hepatitis C antibody negative
29,48546,NCT01734512,Hepatitis B/C blood test must be done at screening for all patients. Patients who test positive for Hepatitis C antibodies and the Hepatitis B antigen are ineligible.
29,52557,NCT01140087,Positive for Hepatitis B or C
29,53655,NCT00720785,Active Hepatitis B infection (Hep B surface antigen positive)
29,53768,NCT00713492,"Positive hepatitis A, B antigen, or C or HIV test at screening."
29,54250,NCT00357565,History of HIV infection or known positive serology
29,16333,NCT02776761,Negative hantavirus PsVNA test result at screening
29,48872,NCT01703117,Positive Hepatitis Serology (Hep. B antigen+ or Hep. C antibody+)
29,3461,NCT03113695,Positive hepatitis serology
29,11154,NCT02946658,Patients positive for Hepatitis (Hepatitis A history excepted)
29,35334,NCT02315196,Known or active hepatitis B or C with abnormal liver function tests
29,45723,NCT01940757,Positive confirmatory test for HIV infection.
29,48192,NCT01773395,Positive HIV or HTLV-1 serology
