pid,mcid,nctid,criterion_text
12,6300,NCT03058679,Diabetes Mellitus requiring medication
12,6551,NCT03053908,Insulin dependent diabetes.
12,18769,NCT02685605,Previous cranial radiation therapy
12,21329,NCT02589977,diabetes mellitus
12,22295,NCT02576301,Treatment with any anticancer therapy
12,25081,NCT02522494,"Drug-induced diabetes,"
12,25119,NCT02521818,insulin-dependent diabetes
12,27300,NCT02488057,diabetic
12,29786,NCT02441101,Inotrope dependent heart failure condition
12,32731,NCT02370732,Insulin dependent diabetes mellitus
12,32906,NCT02367196,Known HIV infection.
12,37550,NCT02244814,overt diabetes
12,40157,NCT02157974,Type 2 diabetes
12,40980,NCT02131805,Diabetes that is poorly controlled
12,43922,NCT02020018,Type I (insulin-dependent) diabetics
12,49354,NCT01668602,Insulin dependent diabetes
12,52999,NCT00969111,Prior systemic chemotherapy for any reason.
12,5318,NCT03076333,Poorly controlled diabetes mellitus
12,7898,NCT03029702,Pregestational diabetes
12,8751,NCT03008070,Compensated liver disease
12,14584,NCT02843568,Treatment includes localized radiation therapy with or without chemotherapy
12,16989,NCT02755116,Poorly controlled diabetes
12,29719,NCT02442323,Patients receiving 3rd-line palliative chemotherapy
12,30865,NCT02415556,Intolerance to insulin
12,33979,NCT02342808,Diabetes requiring insulin
12,36448,NCT02276443,Prior therapy with - chemotherapy and/or immunotherapy
12,40749,NCT02138617,Other anti-cancer or investigational therapy while patients are on study therapy
12,42858,NCT02068612,Are diabetic
12,42965,NCT02064036,Previous hormonal therapy
12,43924,NCT02020018,Steroid-dependent patients
12,46556,NCT01893307,Concurrent chemotherapy
12,50611,NCT01553214,Diabetes mellitus requiring insulin
12,52460,NCT01185210,Diabetes
12,54451,NCT00147056,Insulin-dependent diabetes mellitus
12,54536,NCT00001651,Diabetes mellitus requiring drug therapy.
