pid,mcid,nctid,criterion_text
2,14556,NCT02844465,IQ < 70
2,193,NCT03186872,"No psychotherapy within PCMH within past 6 months including with the psychologist• Stable on psychiatric meds for 4 weeks• Personality pathology or PTSD (captured from DSM-V cross cutting symptoms inventory already being used as part of routine care screening in this clinic)• Severe mood disorder (PHQ8 > 14) or evidence of active suicidality or psychosis (brief screen conducted by SWer in clinic using DSM-V cross cutting symptom inventory) to assess for psychosis, etc. will serve as our study screener • No smartphone"
2,601,NCT03178383,"Able to recruit 40+ participants for a breast, prostate, or colorectal cancer educational workshop"
2,895,NCT03170349,Patient is currently participating or has participated in another investigational drug or device clinical study where the primary study endpoint was not reached at time of enrollment
2,1066,NCT03166371,Subject not expected to be discharged to usual home or assisted living setting
2,1918,NCT03146442,BMI: 25-34kg/m2 or 85th-98th percentile
2,3154,NCT03116997,Serum Creatinine >/= 2.0 mg/dL
2,3827,NCT03107897,Subject requires 6.0 seconds or longer to complete a 15ft walk test
2,4102,NCT03101956,Presence of any medical 'red flags' suggestive of pain that is not of musculoskeletal origin
2,4409,NCT03095235,patients identified as having keratoconus or post refractive cornea ectasia with astigmatism of 1.5 Diopters or greater.
2,4631,NCT03089905,Congenital cardiac disease requiring surgery
2,4732,NCT03088592,"History of schizophrenia, delusions, or currently uncontrolled visual hallucinations"
2,5917,NCT03065465,Severe upper GI bleeding.
2,6669,NCT03051321,Active perineal infection
2,7544,NCT03035474,Chronic kidney disease requiring dialysis
2,8696,NCT03008408,"All patients must have measurable disease per Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1 defined as at least one ""target lesion"" that can be accurately measured in at least one dimension (>= 10 mm longest dimension to be recorded; Lymph nodes must be >= 15 mm per short axis). Each lesion must be > 20 mm when measured by palpation or conventional imaging techniques (computed tomography [CT] or magnetic resonance imaging [MRI] - based on primary physician preference) or > 10 mm with spiral CT scan. Measurable lesions must be at least 2 times the slice thickness in millimeters. Tumors within a previously irradiated field will be designated as ""non-target"" lesions unless progression is documented. Ascites and pleural effusions are not considered measurable disease. If the measurable disease is confined to a solitary lesion, its neoplastic nature should be confirmed by cytology/histology."
2,9278,NCT02995330,"Acceptable liver function: Bilirubin < 2.5 mg/dL (unless due to Gilbert's disease, AST (SGOT) and ALT (SGPT) < 5 times upper limit of normal."
2,9987,NCT02981173,Use of serotonergic antiemetics (i.e. ondansetron) in the past 2 weeks
2,10946,NCT02953392,Subjects requiring bone augmentation or socket grafting prior to surgery.
2,11136,NCT02946697,having a first breast cancer diagnosis of stages 0-III
2,11654,NCT02932280,AST (SGOT) and ALT (SGPT) > 3 X ULN (unless attributed to disease involvement)
2,11798,NCT02927639,Owns a personal mobile device with unlimited text messaging plan
2,12816,NCT02905578,"A creatinine level of less than 1 1/2 times the upper limit of normal for the local lab test, or, a creatinine clearance of at least 60 mL/(min*1.73m2)"
2,12894,NCT02903511,"Liver disease,"
2,12944,NCT02902952,Danger to themselves or others
2,13599,NCT02872935,BMI >40 Kg/ mm
2,14022,NCT02859142,Willing and able to sign an informed consent
2,14039,NCT02857673,"Primary caregiver of a child under age 7 with a physical, emotional, or behavioral health condition"
