pid,mcid,nctid,criterion
1,1169,NCT03162731,Hemoglobin 9 g/dl or more
1,2115,NCT03141970,"Persistent estimated glomerular filtration rate (GFR) <75 ml/min/1.73 m2,"
1,2409,NCT03135782,Willing to consider quitting smoking
1,4570,NCT03090672,Patient having adequate donor adipose (fat) tissue
1,6608,NCT03053037,"Ages Eligible for Study: 18 Years to 85 Years   (Adult, Older Adult)"
1,6647,NCT03051516,Currently pregnant
1,6754,NCT03049033,Age 45 to 85
1,6939,NCT03043794,"Clearly demarcated tumor on magnetic resonance imaging (MRI), as determined by treating physician (MRI may be done after enrollment if not done prior)"
1,8358,NCT03016871,"Total bilirubin with 1.5 x the upper limit of normal (ULN) institutional limits; patients with elevation of unconjugated bilirubin alone, as in Gilbert's disease, are eligible"
1,8383,NCT03016871,"Significant screening electrocardiogram (ECG) abnormalities including, but not limited to, left bundle branch block, 2nd degree atrioventricular (AV) block type II, 3rd degree block, or corrected QT interval (QTc) >= 470 msec; subjects with a cardiac pacemaker who have a QTc interval of >= 470 msec may be eligible if these findings are considered not clinically significant as documented via a cardiology evaluation"
1,8460,NCT03015272,"- pre- and post-intervention MRI scanning at MGH's Martinos Center, and"
1,8567,NCT03011567,Gestational hypertension
1,8846,NCT03006770,"Use of hyperbaric oxygen therapy, prostanoids, spinal cord stimulation, lumbar sympathectomy, wound dressing containing cells or growth factors, or topical platelet derived growth factor."
1,9448,NCT02991651,"Women of child-bearing potential and men must agree to use highly effective contraception (if using hormonal birth control must add a second barrier method; abstinence) prior to study entry, for the duration of study participation as well as for at least 1 month after the last dose of IRX4204. Men treated or enrolled on this protocol must also agree to use highly effective contraception prior to the study, for the duration of study participation and 3 months after completion of IRX4204 administration."
1,10706,NCT02960113,"History of open angle glaucoma, seizures or psychosis"
1,11506,NCT02938559,Lifetime history of failure to respond to 4 or more sessions of CBT/CT for depression
1,11602,NCT02932956,Child-Pugh-Turcotte score < 7 (for patients with hepatocellular carcinoma only)
1,15961,NCT02793583,Autologous hematologic stem cell transplant within 6 months of study entry. Prior Allogeneic hematologic stem cell transplant is excluded
1,15962,NCT02793583,Prior therapy with a PI3K delta inhibitor
1,17012,NCT02754752,Cardiac pacemaker or other implanted electronic devices
1,17563,NCT02734888,Diabetes mellitus
1,17572,NCT02734771,Carriers of hepatitis B virus should be closely monitored for clinical and laboratory signs of active hepatitis B virus infection and for signs of hepatitis throughout study participation.
1,17719,NCT02727972,"Ages Eligible for Study: 18 Years to 65 Years   (Adult, Older Adult)"
1,17859,NCT02724540,Sexes Eligible for Study: All
1,19128,NCT02670044,Histological confirmation of relapsed or refractory AML after prior anti-leukemic therapy by WHO classification
1,19792,NCT02646787,Unable to communicate orally
1,19826,NCT02642640,With regular sleep-wake cycle
1,19909,NCT02639208,Participants who have started their treatment plan are not eligible.
1,20266,NCT02624804,AST or ALT 2 > x upper limit of normal.
1,20516,NCT02614365,"Have a Body Mass Index (BMI) ≥35,"
1,20956,NCT02596776,"Insulin resistance Fasting blood sugar >126, or 2 hr glu >200, but with A1C<7.5 (i.e. we will include subjects with T2DM on no meds and with good glycemic control)"
