pid,mcid,nctid,criterion_text
24,1459,NCT03154476,Viral hepatitis
24,1582,NCT03153319,Hepatitis B infection (active or chronic carrier);
24,1957,NCT03145298,Known history of viral hepatitis
24,2784,NCT03126370,Chronic hepatitis C infection
24,4093,NCT03102320,Active hepatitis B or C infection
24,5220,NCT03078153,Chronic hepatitis B infection
24,7216,NCT03039036,"HIV, hepatitis B or C infection"
24,9501,NCT02990481,"Known active infection with HIV, hepatitis B, hepatitis C"
24,10095,NCT02979366,Uncontrolled hepatitis B or C infection
24,11103,NCT02947165,Active HBV or HCV infection.
24,11663,NCT02932280,Known history of hepatitis C or known active hepatitis B infection
24,12648,NCT02910700,Known history of a positive test for hepatitis B virus or hepatitis C virus indicating acute or chronic infection
24,13944,NCT02861417,Patients with active hepatitis B and C
24,14513,NCT02844738,"Patients infected with hepatitis B, C or HIV."
24,16342,NCT02776761,Any confirmed evidence of hepatitis B or C infection
24,17900,NCT02723994,Positive screen for hepatitis B or C
24,19517,NCT02656706,Any positive test result for hepatitis B or C virus indicating acute or chronic infection
24,22935,NCT02564744,"Participants with active hepatitis A, B or C infection."
24,23840,NCT02547662,"Known hepatitis B surface antigen-positive status, or known or suspected active hepatitis C infection"
24,24405,NCT02535286,"Known hepatitis B virus, hepatitis C virus or HIV infection"
24,25539,NCT02516696,Subject has known active hepatitis B or hepatitis C infection.
24,25723,NCT02514083,Active Hepatitis B or Hepatitis C infection
24,27273,NCT02488967,Active hepatitis B or hepatitis C with abnormal liver function tests
24,31007,NCT02413047,Active tuberculosis or hepatitis B infection
24,31165,NCT02409810,Acute hepatitis
24,31645,NCT02401347,Known active hepatitis B virus
24,32010,NCT02393794,Subject tests positive for hepatitis B or C indicating acute or chronic infection
24,32151,NCT02390752,"Known active hepatitis A, B, C or HIV infection, chronic Hepatitis B or C, or HIV infection or inactive Hepatitis B carrier."
24,32562,NCT02378428,Hepatitis B surface antigen (+) or Hepatitis C positive in preceding six months.
24,32907,NCT02367196,"Known chronic, active hepatitis B or C (HBV/HCV) infection."
24,34995,NCT02323126,Any positive test for hepatitis B virus or hepatitis C virus indicating acute or chronic infection
24,35594,NCT02310464,"Subjects with HIV infection, active hepatitis B infection or active hepatitis C infection."
24,36557,NCT02272998,Patients with history of active hepatitis B or C infection or chronic hepatitis with Child Pugh B or C hepatic dysfunction
24,39046,NCT02191098,Chronic hepatitis B or C
24,42822,NCT02070549,"Active hepatitis B virus (HBV), or hepatitis C virus (HCV) infection (patients with chronic or cleared HBV and HCV infection are eligible)"
24,45594,NCT01947140,"Active Hepatitis A, Hepatitis B, or Hepatitis C infection"
24,46480,NCT01896921,Chronic active hepatitis B infection as defined by presence of HBsAg
24,51142,NCT01473628,Patients with active hepatitis B and/or hepatitis C infection
24,52144,NCT01306019,Documented active Hepatitis B infection
24,53654,NCT00720785,Hepatitis C positive patients (Hep C PCR positive)
24,12764,NCT02907918,Known hepatitis B or C infection.
24,22443,NCT02573376,Chronic Hepatitis B virus Infection
24,50855,NCT01522768,"Active hepatitis B infection, active hepatitis C infection"
24,15863,NCT02797795,Known active viral hepatitis
24,30657,NCT02419560,Known active Hepatitis B or Hepatitis C.
24,50598,NCT01553942,"Active hepatitis B, C or known HIV carrier"
24,47084,NCT01858168,Subjects with known active hepatitis B or C
24,51314,NCT01445821,Hepatitis B or C positive
