pid,mcid,nctid,criterion
3,1815,NCT03148795,"Radiation therapy within 3 weeks (within 2 weeks, if single fraction of radiotherapy) before day 1."
3,2079,NCT03143894,"Hairstyles that obstruct placement of the electrodes including cornrows, dreadlocks, braids or other hair accessories that cannot be removed."
3,2173,NCT03140488,History of previous cesarean delivery
3,2316,NCT03137498,Previously enrolled to the study
3,4056,NCT03103646,Known CYP2D6 and CYP2C19 genotype
3,5028,NCT03081559,Assigned male sex at birth but does not currently identify as male; and
3,5339,NCT03076034,Prior fracture in adulthood (>age 18) for healthy controls
3,5471,NCT03073811,Able to record dietary intake or has a proxy who can record dietary intake
3,5678,NCT03070145,History of histologically confirmed prostate cancer
3,6524,NCT03054519,Currently taking metformin or has taken metformin in past six months.
3,7709,NCT03033303,Inability to comply with protocol requirements
3,7944,NCT03028350,Daily use of long-acting antihistamines in the last two weeks before starting treatment.
3,9054,NCT03002519,Signed written informed consent.
3,9396,NCT02992275,Other severe medical illness or condition that would preclude safe participation in the study as determined by the study team
3,10153,NCT02977468,"Breast size B cup or larger, to allow for IORT procedure."
3,10193,NCT02977299,"patients who have received treatment with vagus nerve stimulation (VNS),"
3,10202,NCT02975986,"Ages Eligible for Study: 21 Years to 99 Years   (Adult, Older Adult)"
3,10514,NCT02964741,"History or current evidence of a psychotic disorder (e.g. schizophrenia) or substance abuse; bipolar or severe major depression, as evidenced by Beck Depression score of ≥ 30"
3,11294,NCT02943915,Unable to achieve neutral ankle dorsiflexion with passive stretch (neutral with max 12° knee flexion)
3,11404,NCT02942095,Radiotherapy completed within 2 weeks prior to treatment initiation. Radiotherapy completed >2 weeks prior to treatment initiation is allowed if all procedure-related toxicities resolved per inclusion #2.
3,12386,NCT02914834,additional acupuncture
3,13012,NCT02900469,Serum calcium or albumin-adjusted serum calcium ≥2.0mmol/L (8.0mg/dL) and ≤ 2.9 mmol/L (11.5mg/dL)
3,13383,NCT02879136,"Ages Eligible for Study: 18 Years to 90 Years   (Adult, Older Adult)"
3,13552,NCT02874898,"Current PTSD diagnosis based on DSM-5 criteria, with a minimum duration of 12 weeks since the traumatic event;"
3,14220,NCT02851888,Radiographic signs of osteoarthritis (> Tonis grade 1)
3,14748,NCT02835729,History of any other active cancer diagnosis
