pid,mcid,nctid,criterion_text
13,1006,NCT03167606,HIV+
13,3728,NCT03109431,HIV-positive serostatus
13,4043,NCT03104205,History of bariatric surgery
13,5208,NCT03078153,HIV negative
13,5518,NCT03073343,Known HIV infection
13,15224,NCT02820350,HIV or AIDS.
13,17535,NCT02737202,Current infection.
13,20269,NCT02624804,Known active infection
13,23011,NCT02563574,HIV-infected;
13,27525,NCT02483468,History of seizures.
13,28161,NCT02472834,HIV positive
13,32637,NCT02374333,HIV infection
13,33108,NCT02362997,HIV-positive.
13,45183,NCT01964261,HIV or AIDS infection
13,54790,NCT00001337,HIV negative.
13,1262,NCT03159754,History of major abdominal operation
13,1616,NCT03152409,History of GI bleed
13,6045,NCT03060772,HIV-positive
13,10438,NCT02966665,History of variant angina
13,11102,NCT02947165,HIV infection.
13,11827,NCT02926924,Previous spine infection
13,20373,NCT02622295,Chronic infection
13,28216,NCT02471430,HIV-1 infection prior to entry
13,34287,NCT02339233,HIV or AIDS related illness.
13,34570,NCT02332863,Current infection
13,39343,NCT02178566,History of syncope
13,45714,NCT01940757,History of iron deficiency anemia.
13,46466,NCT01896921,HIV-1 infection
13,48965,NCT01697371,Active liver infection
13,50856,NCT01522768,Known HIV carrier
13,15040,NCT02826577,Medical history of cancer
13,48587,NCT01730937,Prior liver transplant
13,51307,NCT01445821,HIV positive.
13,53653,NCT00720785,HIV-positive patients
13,53997,NCT00540761,OR pregnancy
